participant,domain,A,B,C,D,rating
1,living,0,0,0,0,0
1,living,0,0,0,1,1
1,living,0,0,1,0,1
1,living,0,0,1,1,3
1,living,0,1,0,0,2
1,living,0,1,0,1,2
1,living,0,1,1,0,3
1,living,0,1,1,1,4
1,living,1,0,0,0,2
1,living,1,0,0,1,1
1,living,1,0,1,0,5
1,living,1,0,1,1,5
1,living,1,1,0,0,3
1,living,1,1,0,1,4
1,living,1,1,1,0,5
1,living,1,1,1,1,6
2,living,0,0,0,0,0
2,living,0,0,0,1,0
2,living,0,0,1,0,6
2,living,0,0,1,1,6
2,living,0,1,0,0,0
2,living,0,1,0,1,0
2,living,0,1,1,0,6
2,living,0,1,1,1,6
2,living,1,0,0,0,0
2,living,1,0,0,1,0
2,living,1,0,1,0,6
2,living,1,0,1,1,6
2,living,1,1,0,0,0
2,living,1,1,0,1,0
2,living,1,1,1,0,6
2,living,1,1,1,1,6
3,living,0,0,0,0,0
3,living,0,0,0,1,0
3,living,0,0,1,0,1
3,living,0,0,1,1,3
3,living,0,1,0,0,2
3,living,0,1,0,1,1
3,living,0,1,1,0,5
3,living,0,1,1,1,3
3,living,1,0,0,0,1
3,living,1,0,0,1,3
3,living,1,0,1,0,3
3,living,1,0,1,1,3
3,living,1,1,0,0,4
3,living,1,1,0,1,4
3,living,1,1,1,0,5
3,living,1,1,1,1,6
4,living,0,0,0,0,0
4,living,0,0,0,1,0
4,living,0,0,1,0,2
4,living,0,0,1,1,4
4,living,0,1,0,0,0
4,living,0,1,0,1,1
4,living,0,1,1,0,4
4,living,0,1,1,1,5
4,living,1,0,0,0,1
4,living,1,0,0,1,1
4,living,1,0,1,0,4
4,living,1,0,1,1,4
4,living,1,1,0,0,1
4,living,1,1,0,1,1
4,living,1,1,1,0,5
4,living,1,1,1,1,6
5,living,0,0,0,0,0
5,living,0,0,0,1,0
5,living,0,0,1,0,6
5,living,0,0,1,1,6
5,living,0,1,0,0,0
5,living,0,1,0,1,0
5,living,0,1,1,0,6
5,living,0,1,1,1,6
5,living,1,0,0,0,0
5,living,1,0,0,1,0
5,living,1,0,1,0,3
5,living,1,0,1,1,6
5,living,1,1,0,0,0
5,living,1,1,0,1,0
5,living,1,1,1,0,5
5,living,1,1,1,1,6
6,living,0,0,0,0,0
6,living,0,0,0,1,0
6,living,0,0,1,0,1
6,living,0,0,1,1,3
6,living,0,1,0,0,0
6,living,0,1,0,1,3
6,living,0,1,1,0,1
6,living,0,1,1,1,0
6,living,1,0,0,0,0
6,living,1,0,0,1,2
6,living,1,0,1,0,1
6,living,1,0,1,1,3
6,living,1,1,0,0,2
6,living,1,1,0,1,3
6,living,1,1,1,0,2
6,living,1,1,1,1,6
7,living,0,0,0,0,0
7,living,0,0,0,1,0
7,living,0,0,1,0,0
7,living,0,0,1,1,0
7,living,0,1,0,0,0
7,living,0,1,0,1,0
7,living,0,1,1,0,0
7,living,0,1,1,1,3
7,living,1,0,0,0,0
7,living,1,0,0,1,0
7,living,1,0,1,0,0
7,living,1,0,1,1,0
7,living,1,1,0,0,0
7,living,1,1,0,1,3
7,living,1,1,1,0,3
7,living,1,1,1,1,6
8,living,0,0,0,0,0
8,living,0,0,0,1,1
8,living,0,0,1,0,1
8,living,0,0,1,1,3
8,living,0,1,0,0,1
8,living,0,1,0,1,3
8,living,0,1,1,0,3
8,living,0,1,1,1,5
8,living,1,0,0,0,1
8,living,1,0,0,1,3
8,living,1,0,1,0,3
8,living,1,0,1,1,3
8,living,1,1,0,0,3
8,living,1,1,0,1,4
8,living,1,1,1,0,5
8,living,1,1,1,1,6
9,living,0,0,0,0,0
9,living,0,0,0,1,0
9,living,0,0,1,0,4
9,living,0,0,1,1,4
9,living,0,1,0,0,1
9,living,0,1,0,1,1
9,living,0,1,1,0,3
9,living,0,1,1,1,6
9,living,1,0,0,0,0
9,living,1,0,0,1,1
9,living,1,0,1,0,4
9,living,1,0,1,1,4
9,living,1,1,0,0,0
9,living,1,1,0,1,3
9,living,1,1,1,0,6
9,living,1,1,1,1,6
10,living,0,0,0,0,0
10,living,0,0,0,1,1
10,living,0,0,1,0,1
10,living,0,0,1,1,1
10,living,0,1,0,0,0
10,living,0,1,0,1,2
10,living,0,1,1,0,1
10,living,0,1,1,1,3
10,living,1,0,0,0,2
10,living,1,0,0,1,3
10,living,1,0,1,0,2
10,living,1,0,1,1,3
10,living,1,1,0,0,3
10,living,1,1,0,1,3
10,living,1,1,1,0,4
10,living,1,1,1,1,6
11,living,0,0,0,0,0
11,living,0,0,0,1,0
11,living,0,0,1,0,0
11,living,0,0,1,1,3
11,living,0,1,0,0,0
11,living,0,1,0,1,3
11,living,0,1,1,0,3
11,living,0,1,1,1,3
11,living,1,0,0,0,0
11,living,1,0,0,1,3
11,living,1,0,1,0,3
11,living,1,0,1,1,6
11,living,1,1,0,0,2
11,living,1,1,0,1,1
11,living,1,1,1,0,5
11,living,1,1,1,1,6
12,living,0,0,0,0,0
12,living,0,0,0,1,0
12,living,0,0,1,0,2
12,living,0,0,1,1,3
12,living,0,1,0,0,0
12,living,0,1,0,1,1
12,living,0,1,1,0,3
12,living,0,1,1,1,3
12,living,1,0,0,0,0
12,living,1,0,0,1,2
12,living,1,0,1,0,3
12,living,1,0,1,1,5
12,living,1,1,0,0,0
12,living,1,1,0,1,2
12,living,1,1,1,0,5
12,living,1,1,1,1,6
13,living,0,0,0,0,0
13,living,0,0,0,1,0
13,living,0,0,1,0,6
13,living,0,0,1,1,6
13,living,0,1,0,0,0
13,living,0,1,0,1,0
13,living,0,1,1,0,6
13,living,0,1,1,1,6
13,living,1,0,0,0,0
13,living,1,0,0,1,0
13,living,1,0,1,0,6
13,living,1,0,1,1,6
13,living,1,1,0,0,0
13,living,1,1,0,1,0
13,living,1,1,1,0,6
13,living,1,1,1,1,6
14,living,0,0,0,0,0
14,living,0,0,0,1,0
14,living,0,0,1,0,4
14,living,0,0,1,1,5
14,living,0,1,0,0,0
14,living,0,1,0,1,1
14,living,0,1,1,0,4
14,living,0,1,1,1,5
14,living,1,0,0,0,1
14,living,1,0,0,1,2
14,living,1,0,1,0,6
14,living,1,0,1,1,5
14,living,1,1,0,0,2
14,living,1,1,0,1,3
